date,close,close_raw,open,high,low,tvol,tamt,sign,company_id
2013-12-11,24.1433,25.99,23.6324,25.2673,23.5674,38843400.0,1018730000.0,2,8
2013-12-12,23.6417,25.45,24.3384,24.8121,23.6417,19981800.0,518974000.0,5,8
2013-12-13,24.3662,26.23,23.7903,24.4313,23.7068,12749900.0,332205000.0,2,8
2013-12-16,24.7192,26.61,24.7378,24.864,24.4777,13190900.0,350499000.0,2,8
2013-12-17,24.2455,26.1,24.5892,24.7007,24.1062,11413200.0,298846000.0,5,8
2013-12-18,24.3662,26.23,24.1433,24.3662,23.7346,9994160.0,259706000.0,2,8
2013-12-19,24.2641,26.12,24.2362,24.6078,23.9863,6916500.0,180190000.0,5,8
2013-12-20,24.4591,26.33,24.3012,24.6078,24.2826,8530920.0,224553000.0,2,8
2013-12-23,24.3198,26.18,24.422,24.6078,24.199,5403080.0,141686000.0,5,8
2013-12-24,24.3848,26.25,24.1526,24.3941,24.1526,2648050.0,69190700.0,2,8
2013-12-26,24.2734,26.13,24.2641,24.487,24.1294,4226640.0,110492000.0,5,8
2013-12-27,23.1679,24.94,24.1061,24.2455,23.14,14155100.0,356756000.0,5,8
2013-12-30,23.0193,24.78,23.1029,23.4559,22.8985,8841370.0,219839000.0,5,8
2013-12-31,23.4559,25.25,22.9821,23.4559,22.8799,7168400.0,179124000.0,2,8
2014-01-02,23.5581,25.36,23.2887,23.9854,23.2794,8998940.0,229650000.0,2,8
2014-01-03,24.6542,26.54,23.9204,24.8493,23.6974,13836100.0,363912000.0,2,8
2014-01-06,25.1094,27.03,24.7285,25.2673,24.71,11272300.0,303961000.0,2,8
2014-01-07,24.9933,26.905,25.2673,25.4528,24.775,11288800.0,305705000.0,5,8
2014-01-08,25.6668,27.63,24.4963,25.7132,24.4777,15736900.0,427596000.0,2,8
2014-01-09,27.3296,29.42,26.2334,27.4968,26.1963,26056400.0,758222000.0,2,8
2014-01-10,27.2646,29.35,26.9859,27.7105,26.7072,12824200.0,377004000.0,5,8
2014-01-13,26.6143,28.65,27.1066,27.4318,26.5493,10591700.0,306514000.0,5,8
2014-01-14,26.8187,28.87,26.7072,26.9766,26.67,10601500.0,306241000.0,2,8
2014-01-15,26.7908,28.84,26.8465,27.3482,26.6607,11192600.0,324564000.0,5,8
2014-01-16,27.2553,29.34,26.8837,27.3017,26.6607,7034700.0,205373000.0,2,8
2014-01-17,27.887,30.02,27.2181,27.887,27.0983,18304900.0,547495000.0,2,8
2014-01-21,28.4815,30.66,28.4815,28.6115,28.0542,10612800.0,323647000.0,2,8
2014-01-22,28.9831,31.2,28.5279,29.0203,28.4722,7583630.0,234610000.0,2,8
2014-01-23,29.1225,31.35,28.4722,29.2246,28.4443,11397400.0,354539000.0,2,8
2014-01-24,28.24,30.4,28.8159,28.9645,27.7848,13700000.0,415964000.0,5,8
2014-01-27,28.0356,30.18,28.24,28.6766,26.6329,16288500.0,485718000.0,5,8
2014-01-28,29.6891,31.96,28.1656,29.9121,27.887,23966000.0,754910000.0,2,8
