date,close,close_raw,open,high,low,tvol,tamt,sign
2007-08-20,3.6758,121.697,3.7281,3.7444,3.6241,28697300.0,3492370000.0,2
2007-08-21,3.8367,127.025,3.6755,3.8785,3.6391,46537400.0,5911410000.0,2
2007-08-22,3.9853,131.944,3.9465,3.9925,3.9197,37920200.0,5003350000.0,2
2007-08-23,3.942,130.51,4.0027,4.0102,3.9025,30958400.0,4040390000.0,5
2007-08-24,4.0692,134.722,3.9257,4.0713,3.9041,32565500.0,4387280000.0,2
2007-08-27,3.9775,131.685,4.0117,4.0499,3.9729,25265800.0,3327130000.0,5
2007-08-28,3.8141,126.278,3.9395,3.9823,3.8084,42120400.0,5318880000.0,5
2007-08-29,4.0325,133.507,3.9062,4.0355,3.8959,41674400.0,5563830000.0,2
2007-08-30,4.0978,135.668,3.9901,4.1579,3.9789,51272600.0,6956050000.0,2
2007-08-31,4.1648,137.888,4.1952,4.2,4.1326,31317500.0,4318310000.0,2
2007-09-04,4.3356,143.544,4.2087,4.3829,4.2057,47030100.0,6750890000.0,2
2007-09-05,4.1131,136.175,4.36,4.3862,4.0932,83152000.0,11323200000.0,5
2007-09-06,4.0605,134.433,4.077,4.1374,3.9913,67902200.0,9128300000.0,5
2007-09-07,3.963,131.207,3.9702,3.9789,3.9098,51091900.0,6703620000.0,5
2007-09-10,4.1116,136.126,4.1201,4.1516,4.0286,53137400.0,7233380000.0,2
2007-09-11,4.0749,134.911,4.1474,4.1594,4.0225,34710200.0,4682780000.0,5
2007-09-12,4.1158,136.265,4.0899,4.1925,4.0827,36548000.0,4980220000.0,2
2007-09-13,4.1263,136.613,4.1753,4.1805,4.1098,23434300.0,3201430000.0,2
2007-09-14,4.1747,138.217,4.1074,4.1799,4.0962,21690000.0,2997930000.0,2
2007-09-17,4.1627,137.818,4.1802,4.2283,4.1384,28334600.0,3905020000.0,5
2007-09-18,4.2382,140.318,4.1823,4.2962,4.1453,38003100.0,5332530000.0,2
2007-09-19,4.2337,140.168,4.3014,4.3056,4.1925,36674300.0,5140560000.0,5
2007-09-20,4.2198,139.71,4.215,4.2644,4.1901,24708500.0,3452030000.0,5
2007-09-21,4.3353,143.534,4.2448,4.3504,4.2198,40674200.0,5838130000.0,2
2007-09-24,4.4595,147.646,4.4129,4.5068,4.4105,37577200.0,5548120000.0,2
2007-09-25,4.6069,152.525,4.4162,4.6081,4.4156,42591000.0,6496200000.0,2
2007-09-26,4.5946,152.117,4.6457,4.6616,4.5489,34831000.0,5298380000.0,5
2007-09-27,4.6466,153.839,4.6247,4.6472,4.5811,23507000.0,3616300000.0,2
2007-09-28,4.6156,152.814,4.6147,4.6496,4.594,21967900.0,3357000000.0,5
2007-10-01,4.7019,155.671,4.6505,4.7341,4.5994,29895200.0,4653820000.0,2
2007-10-02,4.7654,157.773,4.7083,4.7696,4.6884,28288200.0,4463110000.0,2
2007-10-03,4.7495,157.245,4.7452,4.7874,4.7221,24732700.0,3889100000.0,5
2007-10-04,4.6989,155.572,4.7519,4.7543,4.6165,23462800.0,3650150000.0,5
2007-10-05,4.8556,160.76,4.763,4.8595,4.7429,33695300.0,5416860000.0,2
2007-10-08,5.0499,167.192,4.917,5.0499,4.9013,29854500.0,4991440000.0,2
2007-10-09,5.0484,167.142,5.1188,5.1461,5.0129,39494500.0,6601190000.0,5
2007-10-10,5.0162,166.077,5.0391,5.049,4.9804,23842400.0,3959680000.0,5
2007-10-11,4.8791,161.536,5.0974,5.1693,4.6078,58713900.0,9484420000.0,5
2007-10-12,5.0302,166.539,4.9026,5.031,4.8662,35291900.0,5877480000.0,2
2007-10-15,5.0219,166.266,5.052,5.0998,4.9173,38497500.0,6400820000.0,5
2007-10-16,5.1001,168.855,4.9786,5.1182,4.9669,38136800.0,6439590000.0,2
2007-10-17,5.1955,172.011,5.1937,5.2042,5.0881,40271900.0,6927200000.0,2
2007-10-18,5.218,172.758,5.1579,5.2388,5.1444,29440900.0,5086160000.0,2
2007-10-19,5.1254,169.691,5.2403,5.252,5.1128,46135000.0,7828690000.0,5
2007-10-22,5.2439,173.615,5.1233,5.2601,5.1116,58910600.0,10227800000.0,2
2007-10-23,5.5988,185.364,5.671,5.6722,5.4965,64113000.0,11884200000.0,2
2007-10-24,5.5919,185.135,5.5883,5.6304,5.3907,46017100.0,8519380000.0,5
2007-10-25,5.4972,181.999,5.56,5.591,5.4634,34772000.0,6328470000.0,5
2007-10-26,5.5549,183.91,5.5726,5.575,5.5001,25245600.0,4642910000.0,2
2007-10-29,5.5666,184.299,5.5774,5.6117,5.5549,19305500.0,3557980000.0,2
2007-10-30,5.6241,186.201,5.5994,5.6953,5.5558,33550500.0,6247130000.0,2
