date,close,close_raw,open,high,low,tvol,tamt,sign
2007-08-20,12.3584,497.92,12.4711,12.4736,12.3107,2698220.0,1343500000.0,5
2007-08-21,12.5741,506.61,12.3837,12.6126,12.3547,3618510.0,1833170000.0,2
2007-08-22,12.7265,512.75,12.6572,12.8134,12.6396,3255990.0,1669510000.0,2
2007-08-23,12.7126,512.19,12.8072,12.8104,12.5838,3077240.0,1576130000.0,5
2007-08-24,12.7823,515.0,12.723,12.796,12.621,2473010.0,1273600000.0,2
2007-08-27,12.7391,513.26,12.7682,12.8431,12.693,2325050.0,1193350000.0,5
2007-08-28,12.5689,506.4,12.6962,12.7818,12.5537,3275020.0,1658470000.0,5
2007-08-29,12.7297,512.88,12.6046,12.7401,12.5895,2550540.0,1308120000.0,2
2007-08-30,12.693,511.4,12.7168,12.7923,12.6726,2653550.0,1357020000.0,5
2007-08-31,12.7885,515.25,12.7352,12.8196,12.6947,2977510.0,1534160000.0,2
2007-09-04,13.0343,525.15,12.7828,13.105,12.7729,3696830.0,1941390000.0,2
2007-09-05,13.1,527.8,12.9908,13.1417,12.9623,3314010.0,1749130000.0,2
2007-09-06,12.9938,523.52,13.1387,13.1504,12.8627,3634260.0,1902610000.0,5
2007-09-07,12.8903,519.35,12.8533,12.9372,12.827,3663640.0,1902710000.0,5
2007-09-10,12.7694,514.48,12.9382,12.9578,12.6801,3226720.0,1660080000.0,5
2007-09-11,12.9394,521.33,12.8317,12.9474,12.8004,2704260.0,1409810000.0,2
2007-09-12,12.9722,522.65,12.9196,13.1045,12.8816,2986900.0,1561100000.0,2
2007-09-13,13.0251,524.78,13.0072,13.0854,12.9864,1892760.0,993282000.0,2
2007-09-14,13.1236,528.75,12.9859,13.1613,12.9615,2765940.0,1462490000.0,2
2007-09-17,13.038,525.3,13.0685,13.1368,13.0074,2198560.0,1154900000.0,5
2007-09-18,13.2854,535.27,13.0683,13.3346,13.0124,4223170.0,2260540000.0,2
2007-09-19,13.5728,546.85,13.3847,13.6374,13.3745,5527900.0,3022930000.0,2
2007-09-20,13.7213,552.83,13.5766,13.8198,13.5525,5531350.0,3057890000.0,2
2007-09-21,13.9017,560.1,13.8084,13.9188,13.7213,8013000.0,4488080000.0,2
2007-09-24,14.0983,568.02,13.9241,14.1837,13.8992,5299790.0,3010380000.0,2
2007-09-25,14.1226,569.0,13.9985,14.1365,13.9702,2730640.0,1553730000.0,2
2007-09-26,14.1018,568.16,14.1574,14.1919,13.9938,3346450.0,1901320000.0,5
2007-09-27,14.0854,567.5,14.1904,14.1906,14.0427,2056260.0,1166930000.0,5
2007-09-28,14.0797,567.27,14.073,14.1363,14.0015,2639460.0,1497290000.0,5
2007-10-01,14.4589,582.55,14.1467,14.5036,14.1378,4714450.0,2746400000.0,2
2007-10-02,14.5046,584.39,14.4795,14.8129,14.3959,7067480.0,4130160000.0,2
2007-10-03,14.4954,584.02,14.5508,14.6188,14.4046,3884250.0,2268480000.0,5
2007-10-04,14.3716,579.03,14.522,14.522,14.3227,2988770.0,1730590000.0,5
2007-10-05,14.7444,594.05,14.5721,14.7928,14.5696,5073040.0,3013640000.0,2
2007-10-08,15.1308,609.62,14.7679,15.1467,14.7419,5029120.0,3065850000.0,2
2007-10-09,15.2689,615.185,15.2671,15.4823,15.1003,8769120.0,5394630000.0,2
2007-10-10,15.5222,625.39,15.4222,15.5294,15.309,5385600.0,3368100000.0,2
2007-10-11,15.4381,622.0,15.727,15.9198,15.1154,11800500.0,7339900000.0,5
2007-10-12,15.8201,637.39,15.4872,15.8451,15.3448,6826950.0,4351430000.0,2
2007-10-15,15.3912,620.11,15.8469,15.8814,15.278,6948870.0,4309070000.0,5
2007-10-16,15.2892,616.0,15.351,15.5354,15.1896,6025270.0,3711560000.0,5
2007-10-17,15.723,633.48,15.6478,15.7359,15.4279,6030450.0,3820170000.0,2
2007-10-18,15.8754,639.62,15.7709,15.9188,15.5994,12353800.0,7901730000.0,2
2007-10-19,16.0017,644.71,16.2462,16.3438,15.965,15789000.0,10179300000.0,2
2007-10-22,16.1517,650.75,15.8518,16.2571,15.7925,6664310.0,4336800000.0,2
2007-10-23,16.7727,675.77,16.4123,16.8181,16.3812,6799990.0,4595230000.0,2
2007-10-24,16.7739,675.82,16.6967,16.8148,16.3703,7409300.0,5007350000.0,2
2007-10-25,16.5925,668.51,16.8449,16.8521,16.4693,5798450.0,3876320000.0,5
2007-10-26,16.7436,674.6,16.7295,16.7918,16.5813,3354540.0,2262970000.0,2
2007-10-29,16.8585,679.23,16.8223,16.8776,16.6813,3066530.0,2082880000.0,2
2007-10-30,17.2442,694.77,16.8158,17.3718,16.8158,6900520.0,4794280000.0,2
2007-10-31,17.5478,707.0,17.3912,17.5478,17.2758,6884490.0,4867330000.0,2
2007-11-01,17.4537,703.21,17.4433,17.7146,17.4182,6528950.0,4591220000.0,5
2007-11-02,17.6533,711.25,17.6349,17.7111,17.308,5842240.0,4155290000.0,2
2007-11-05,18.0107,725.65,17.5475,18.1244,17.5247,8885630.0,6447850000.0,2
2007-11-06,18.4113,741.79,18.3063,18.4113,17.9945,8441620.0,6261910000.0,2
