"Month","Animal","State","Count"
1976 7,"Bulls, bullocks and steers","Australian Capital Territory",2300
1976 8,"Bulls, bullocks and steers","Australian Capital Territory",2100
1976 9,"Bulls, bullocks and steers","Australian Capital Territory",2100
1976 10,"Bulls, bullocks and steers","Australian Capital Territory",1900
1976 11,"Bulls, bullocks and steers","Australian Capital Territory",2100
1976 12,"Bulls, bullocks and steers","Australian Capital Territory",1800
1977 1,"Bulls, bullocks and steers","Australian Capital Territory",1800
1977 2,"Bulls, bullocks and steers","Australian Capital Territory",1900
1977 3,"Bulls, bullocks and steers","Australian Capital Territory",2700
1977 4,"Bulls, bullocks and steers","Australian Capital Territory",2300
1977 5,"Bulls, bullocks and steers","Australian Capital Territory",2500
1977 6,"Bulls, bullocks and steers","Australian Capital Territory",2900
1977 7,"Bulls, bullocks and steers","Australian Capital Territory",2400
1977 8,"Bulls, bullocks and steers","Australian Capital Territory",2400
1977 9,"Bulls, bullocks and steers","Australian Capital Territory",2200
1977 10,"Bulls, bullocks and steers","Australian Capital Territory",2300
1977 11,"Bulls, bullocks and steers","Australian Capital Territory",2400
1977 12,"Bulls, bullocks and steers","Australian Capital Territory",2200
1978 1,"Bulls, bullocks and steers","Australian Capital Territory",2400
1978 2,"Bulls, bullocks and steers","Australian Capital Territory",2600
1978 3,"Bulls, bullocks and steers","Australian Capital Territory",2800
1978 4,"Bulls, bullocks and steers","Australian Capital Territory",2600
1978 5,"Bulls, bullocks and steers","Australian Capital Territory",2900
1978 6,"Bulls, bullocks and steers","Australian Capital Territory",3000
1978 7,"Bulls, bullocks and steers","Australian Capital Territory",2500
1978 8,"Bulls, bullocks and steers","Australian Capital Territory",2800
1978 9,"Bulls, bullocks and steers","Australian Capital Territory",2600
1978 10,"Bulls, bullocks and steers","Australian Capital Territory",2800
1978 11,"Bulls, bullocks and steers","Australian Capital Territory",2700
1978 12,"Bulls, bullocks and steers","Australian Capital Territory",2400
1979 1,"Bulls, bullocks and steers","Australian Capital Territory",2400
1979 2,"Bulls, bullocks and steers","Australian Capital Territory",2600
1979 3,"Bulls, bullocks and steers","Australian Capital Territory",2300
1979 4,"Bulls, bullocks and steers","Australian Capital Territory",1700
1979 5,"Bulls, bullocks and steers","Australian Capital Territory",2000
1979 6,"Bulls, bullocks and steers","Australian Capital Territory",2000
1979 7,"Bulls, bullocks and steers","Australian Capital Territory",1600
1979 8,"Bulls, bullocks and steers","Australian Capital Territory",1600
1979 9,"Bulls, bullocks and steers","Australian Capital Territory",2000
1979 10,"Bulls, bullocks and steers","Australian Capital Territory",2100
1979 11,"Bulls, bullocks and steers","Australian Capital Territory",2600
1979 12,"Bulls, bullocks and steers","Australian Capital Territory",2100
1980 1,"Bulls, bullocks and steers","Australian Capital Territory",3200
1980 2,"Bulls, bullocks and steers","Australian Capital Territory",2700
1980 3,"Bulls, bullocks and steers","Australian Capital Territory",2900
1980 4,"Bulls, bullocks and steers","Australian Capital Territory",2200
1980 5,"Bulls, bullocks and steers","Australian Capital Territory",2800
1980 6,"Bulls, bullocks and steers","Australian Capital Territory",2100
1980 7,"Bulls, bullocks and steers","Australian Capital Territory",1500
1980 8,"Bulls, bullocks and steers","Australian Capital Territory",2000
1980 9,"Bulls, bullocks and steers","Australian Capital Territory",2600
1980 10,"Bulls, bullocks and steers","Australian Capital Territory",2500
1980 11,"Bulls, bullocks and steers","Australian Capital Territory",2400
