"","x"
"1",0.429795
"2",0.400906
"3",0.432159
"4",0.492543
"5",0.502369
"6",0.602652
"7",0.660119
"8",0.33622
"9",0.351348
"10",0.379808
"11",0.361801
"12",0.410534
"13",0.48338867
"14",0.47546342
"15",0.53476104
"16",0.56860613
"17",0.59522329
"18",0.77125778
"19",0.7515028
"20",0.38755434
"21",0.42728322
"22",0.41389018
"23",0.42885882
"24",0.47012642
"25",0.50920969
"26",0.558443
"27",0.60151406
"28",0.6329471
"29",0.69960539
"30",0.96308051
"31",0.81932534
"32",0.4376698
"33",0.50612127
"34",0.47049117
"35",0.51069626
"36",0.54051379
"37",0.55811892
"38",0.67285206
"39",0.68589738
"40",0.68969198
"41",0.74130358
"42",0.81330763
"43",0.80311257
"44",0.47525824
"45",0.5525723
"46",0.52710782
"47",0.56124982
"48",0.58897764
"49",0.62313362
"50",0.74083723
"51",0.72537176
"52",0.81580302
"53",0.81400947
"54",0.92665305
"55",0.93727594
"56",0.52876165
"57",0.55933994
"58",0.57787166
"59",0.61492741
"60",0.59418877
"61",0.70775844
"62",0.71950195
"63",0.74432369
"64",0.80485511
"65",0.78854235
"66",0.9710894
"67",0.84683354
"68",0.46382252
"69",0.48527317
"70",0.5280586
"71",0.56233647
"72",0.5885704
"73",0.66948036
"74",0.67799365
"75",0.76299549
"76",0.79972374
"77",0.77052192
"78",0.99438934
"79",0.80054443
"80",0.49055721
"81",0.52440799
"82",0.53664948
"83",0.55209054
"84",0.60336564
"85",0.68124538
"86",0.67807535
"87",0.79489265
"88",0.7846239
"89",0.8130087
"90",0.9777323
"91",0.89308148
"92",0.51269597
"93",0.65299589
"94",0.5739764
"95",0.63923842
"96",0.70387188
"97",0.77064824
"98",0.84618588
"99",0.89272889
"100",0.89789988
"101",0.94728069
"102",1.05070727
"103",0.96965567
"104",0.57329151
"105",0.61850684
"106",0.61899573
"107",0.66520922
"108",0.72652015
"109",0.85586494
"110",0.86598429
"111",0.82524883
"112",0.95542102
"113",0.93859596
"114",1.01302442
"115",1.04380535
"116",0.51064725
"117",0.67256901
"118",0.64847006
"119",0.70411469
"120",0.69943075
"121",0.85192587
"122",0.9077052
"123",0.86744447
"124",1.02429281
"125",1.10959022
"126",1.01231323
"127",1.14586761
"128",0.57558438
"129",0.64116459
"130",0.67986207
"131",0.7679384
"132",0.75209591
"133",0.91806359
"134",0.92436753
"135",1.01319767
"136",1.02697609
"137",1.00679597
"138",1.10277568
"139",1.07814487
"140",0.57829619
"141",0.64333332
"142",0.66336735
"143",0.750516
"144",0.80074564
"145",0.91636103
"146",0.91688682
"147",1.08465893
"148",1.15064822
"149",1.05083821
"150",1.22323454
"151",1.13012521
"152",0.66798867
"153",0.74901428
"154",0.73998602
"155",0.79512863
"156",0.85680282
"157",1.00159317
"158",0.99486433
"159",1.134432
"160",1.181011
"161",1.216037
"162",1.257238
"163",1.17069
"164",0.597639
"165",0.65259
"166",0.670505
"167",0.695248
"168",0.842263
"169",0.874336
"170",1.006497
"171",1.094736
"172",1.027043
"173",1.149232
"174",1.160712
"175",1.230691
"176",0.587135
"177",0.706959
"178",0.639641
"179",0.807405
"180",0.79797
"181",0.884312
"182",1.049648
"183",0.995709
"184",1.168253
"185",1.108038
"186",1.120053
"187",1.223319
"188",0.597753
"189",0.704398
"190",0.56176
"191",0.745258
"192",0.837934
"193",0.954144
"194",1.07821949
"195",1.11098161
"196",1.10997914
"197",1.1635343
"198",1.176589
"199",1.219941
"200",0.761822
"201",0.649435
"202",0.827887
"203",0.816255
"204",0.762137
