ds,y
1992-01-01,"146,376"
1992-02-01,"147,079"
1992-03-01,"159,336"
1992-04-01,"163,669"
1992-05-01,"170,068"
1992-06-01,"168,663"
1992-07-01,"169,890"
1992-08-01,"170,364"
1992-09-01,"164,617"
1992-10-01,"173,655"
1992-11-01,"171,547"
1992-12-01,"208,838"
1993-01-01,"153,221"
1993-02-01,"150,087"
1993-03-01,"170,439"
1993-04-01,"176,456"
1993-05-01,"182,231"
1993-06-01,"181,535"
1993-07-01,"183,682"
1993-08-01,"183,318"
1993-09-01,"177,406"
1993-10-01,"182,737"
1993-11-01,"187,443"
1993-12-01,"224,540"
1994-01-01,"161,349"
1994-02-01,"162,841"
1994-03-01,"192,319"
1994-04-01,"189,569"
1994-05-01,"194,927"
1994-06-01,"197,946"
1994-07-01,"193,355"
1994-08-01,"202,388"
1994-09-01,"193,954"
1994-10-01,"197,956"
1994-11-01,"202,520"
1994-12-01,"241,111"
1995-01-01,"175,344"
1995-02-01,"172,138"
1995-03-01,"201,279"
1995-04-01,"196,039"
1995-05-01,"210,478"
1995-06-01,"211,844"
1995-07-01,"203,411"
1995-08-01,"214,248"
1995-09-01,"202,122"
1995-10-01,"204,044"
1995-11-01,"212,190"
1995-12-01,"247,491"
1996-01-01,"185,019"
1996-02-01,"192,380"
1996-03-01,"212,110"
1996-04-01,"211,718"
1996-05-01,"226,936"
1996-06-01,"217,511"
1996-07-01,"218,111"
1996-08-01,"226,062"
1996-09-01,"209,250"
1996-10-01,"222,663"
1996-11-01,"223,953"
1996-12-01,"258,081"
1997-01-01,"200,389"
1997-02-01,"197,556"
1997-03-01,"225,133"
1997-04-01,"220,329"
1997-05-01,"234,190"
1997-06-01,"227,365"
1997-07-01,"231,521"
1997-08-01,"235,252"
1997-09-01,"222,807"
1997-10-01,"232,251"
1997-11-01,"228,284"
1997-12-01,"271,054"
1998-01-01,"207,853"
1998-02-01,"203,863"
1998-03-01,"230,313"
1998-04-01,"234,503"
1998-05-01,"245,027"
1998-06-01,"244,067"
1998-07-01,"241,431"
1998-08-01,"240,462"
1998-09-01,"231,243"
1998-10-01,"244,234"
1998-11-01,"240,991"
1998-12-01,"288,969"
1999-01-01,"218,126"
1999-02-01,"220,650"
1999-03-01,"253,550"
1999-04-01,"250,783"
1999-05-01,"262,113"
1999-06-01,"260,918"
1999-07-01,"262,051"
1999-08-01,"265,089"
1999-09-01,"253,905"
1999-10-01,"258,040"
1999-11-01,"264,106"
1999-12-01,"317,659"
2000-01-01,"236,422"
2000-02-01,"250,580"
2000-03-01,"279,515"
2000-04-01,"264,417"
2000-05-01,"283,706"
2000-06-01,"281,288"
2000-07-01,"271,146"
2000-08-01,"283,944"
2000-09-01,"269,155"
2000-10-01,"270,899"
2000-11-01,"276,507"
2000-12-01,"319,958"
2001-01-01,"250,746"
2001-02-01,"247,772"
2001-03-01,"280,449"
2001-04-01,"274,925"
2001-05-01,"296,013"
2001-06-01,"287,881"
2001-07-01,"279,098"
2001-08-01,"294,763"
2001-09-01,"261,924"
2001-10-01,"291,596"
2001-11-01,"287,537"
2001-12-01,"326,202"
2002-01-01,"255,598"
2002-02-01,"253,086"
2002-03-01,"285,261"
2002-04-01,"284,747"
2002-05-01,"300,402"
2002-06-01,"288,854"
2002-07-01,"295,433"
2002-08-01,"307,256"
2002-09-01,"273,189"
2002-10-01,"287,540"
2002-11-01,"290,705"
2002-12-01,"337,006"
2003-01-01,"268,328"
2003-02-01,"259,051"
2003-03-01,"293,693"
2003-04-01,"294,251"
2003-05-01,"312,389"
2003-06-01,"300,998"
2003-07-01,"309,923"
2003-08-01,"317,056"
2003-09-01,"293,890"
2003-10-01,"304,036"
2003-11-01,"301,265"
2003-12-01,"357,577"
2004-01-01,"281,460"
2004-02-01,"282,444"
2004-03-01,"319,077"
2004-04-01,"315,191"
2004-05-01,"328,408"
2004-06-01,"321,044"
2004-07-01,"328,000"
2004-08-01,"326,317"
2004-09-01,"313,524"
2004-10-01,"319,726"
2004-11-01,"324,259"
2004-12-01,"387,155"
2005-01-01,"293,261"
2005-02-01,"295,062"
2005-03-01,"339,141"
2005-04-01,"335,632"
2005-05-01,"345,348"
2005-06-01,"350,945"
2005-07-01,"351,827"
2005-08-01,"355,701"
2005-09-01,"333,289"
2005-10-01,"336,134"
2005-11-01,"343,798"
2005-12-01,"405,608"
2006-01-01,"318,546"
2006-02-01,"314,051"
2006-03-01,"361,993"
2006-04-01,"351,667"
2006-05-01,"373,560"
2006-06-01,"366,615"
2006-07-01,"362,203"
2006-08-01,"375,795"
2006-09-01,"346,214"
2006-10-01,"348,796"
2006-11-01,"356,928"
2006-12-01,"417,991"
2007-01-01,"328,877"
2007-02-01,"323,162"
2007-03-01,"374,142"
2007-04-01,"358,535"
2007-05-01,"391,512"
2007-06-01,"376,639"
2007-07-01,"372,354"
2007-08-01,"388,016"
2007-09-01,"353,936"
2007-10-01,"368,681"
2007-11-01,"377,802"
2007-12-01,"426,077"
2008-01-01,"342,639"
2008-02-01,"343,893"
2008-03-01,"372,907"
2008-04-01,"368,920"
2008-05-01,"397,956"
2008-06-01,"378,507"
2008-07-01,"383,726"
2008-08-01,"382,862"
2008-09-01,"350,542"
2008-10-01,"349,847"
2008-11-01,"335,545"
2008-12-01,"384,236"
2009-01-01,"310,188"
2009-02-01,"299,412"
2009-03-01,"328,526"
2009-04-01,"329,854"
2009-05-01,"347,728"
2009-06-01,"344,405"
2009-07-01,"348,071"
2009-08-01,"353,392"
2009-09-01,"324,646"
2009-10-01,"338,610"
2009-11-01,"339,363"
2009-12-01,"400,281"
2010-01-01,"314,557"
2010-02-01,"310,925"
2010-03-01,"360,679"
2010-04-01,"356,333"
2010-05-01,"365,605"
2010-06-01,"358,604"
2010-07-01,"361,939"
2010-08-01,"362,627"
2010-09-01,"345,999"
2010-10-01,"355,209"
2010-11-01,"365,828"
2010-12-01,"426,663"
2011-01-01,"335,587"
2011-02-01,"337,314"
2011-03-01,"387,088"
2011-04-01,"380,775"
2011-05-01,"391,999"
2011-06-01,"388,700"
2011-07-01,"384,682"
2011-08-01,"394,609"
2011-09-01,"375,025"
2011-10-01,"379,482"
2011-11-01,"391,220"
2011-12-01,"451,821"
2012-01-01,"355,184"
2012-02-01,"372,401"
2012-03-01,"414,149"
2012-04-01,"392,949"
2012-05-01,"418,608"
2012-06-01,"400,975"
2012-07-01,"396,026"
2012-08-01,"417,922"
2012-09-01,"385,609"
2012-10-01,"399,400"
2012-11-01,"411,065"
2012-12-01,"462,102"
2013-01-01,"375,501"
2013-02-01,"373,978"
2013-03-01,"421,746"
2013-04-01,"408,540"
2013-05-01,"437,188"
2013-06-01,"414,777"
2013-07-01,"422,475"
2013-08-01,"435,137"
2013-09-01,"396,329"
2013-10-01,"415,839"
2013-11-01,"423,973"
2013-12-01,"477,165"
2014-01-01,"383,385"
2014-02-01,"380,362"
2014-03-01,"432,970"
2014-04-01,"431,516"
2014-05-01,"459,335"
2014-06-01,"433,384"
2014-07-01,"443,412"
2014-08-01,"451,572"
2014-09-01,"421,522"
2014-10-01,"438,593"
2014-11-01,"439,188"
2014-12-01,"501,950"
2015-01-01,"398,394"
2015-02-01,"388,598"
2015-03-01,"446,403"
2015-04-01,"439,805"
2015-05-01,"465,048"
2015-06-01,"449,984"
2015-07-01,"459,787"
2015-08-01,"458,146"
2015-09-01,"432,745"
2015-10-01,"446,602"
2015-11-01,"446,201"
2015-12-01,"518,477"
2016-01-01,"401,713"
2016-02-01,"414,910"
2016-03-01,"460,755"
2016-04-01,"451,006"
2016-05-01,"469,997"
2016-06-01,"464,646"
2016-07-01,"461,944"
2016-08-01,"471,643"
2016-09-01,"448,490"
2016-10-01,"453,133"
2016-11-01,"467,181"
2016-12-01,"539,499"
2017-01-01,"422,010"
2017-02-01,"418,387"
2017-03-01,"483,168"
2017-04-01,"465,853"
2017-05-01,"494,662"
2017-06-01,"481,768"
2017-07-01,"475,390"
2017-08-01,"490,325"
2017-09-01,"469,688"
2017-10-01,"475,986"
2017-11-01,"497,642"
2017-12-01,"557,984"
2018-01-01,"444,231"
2018-02-01,"435,308"
2018-03-01,"508,287"
2018-04-01,"480,480"
2018-05-01,"528,485"
2018-06-01,"507,307"
2018-07-01,"505,125"
2018-08-01,"520,502"
2018-09-01,"476,894"
2018-10-01,"503,544"
2018-11-01,"518,353"
2018-12-01,"555,970"
2019-01-01,"455,716"
2019-02-01,"441,374"
2019-03-01,"512,587"
2019-04-01,"505,674"
2019-05-01,"543,094"
2019-06-01,"514,174"
2019-07-01,"527,897"
2019-08-01,"541,266"
2019-09-01,"492,187"
2019-10-01,"521,521"
2019-11-01,"531,705"
2019-12-01,"586,565"
2020-01-01,"481,130"
2020-02-01,"479,732"
2020-03-01,"475,923"
2020-04-01,"407,812"
2020-05-01,"505,509"
2020-06-01,"533,158"
2020-07-01,"549,597"
2020-08-01,"546,420"
2020-09-01,"531,399"
2020-10-01,"553,851"
2020-11-01,"544,214"
2020-12-01,"610,974"
2021-01-01,"516,870"
2021-02-01,"490,015"
2021-03-01,"628,208"
2021-04-01,"624,124"
2021-05-01,"640,252"
2021-06-01,"632,509"
2021-07-01,"630,840"
2021-08-01,"626,217"
2021-09-01,"601,146"
2021-10-01,"629,125"
2021-11-01,"644,748"
2021-12-01,"700,404"
2022-01-01,"581,551"
2022-02-01,"574,664"
2022-03-01,"676,136"
2022-04-01,"675,627"
2022-05-01,"698,580"
2022-06-01,"689,228"
2022-07-01,"681,100"
2022-08-01,"694,225"
2022-09-01,"655,862"
2022-10-01,"678,070"
2022-11-01,"679,804"
2022-12-01,"736,301"
2023-01-01,"627,609"
2023-02-01,"606,884"
2023-03-01,"692,701"
2023-04-01,"674,516"
2023-05-01,"722,019"
2023-06-01,"702,231"
2023-07-01,"696,200"
2023-08-01,"718,533"
2023-09-01,"681,679"
2023-10-01,"697,816"
2023-11-01,"708,181"
2023-12-01,"765,846"
2024-01-01,"637,342"
2024-02-01,"644,825"
2024-03-01,"707,637"
2024-04-01,"700,302"
2024-05-01,"744,554"
2024-06-01,"701,555"
2024-07-01,"726,098"
2024-08-01,"733,560"
2024-09-01,"683,558"
2024-10-01,"730,720"
