observation_date,PCEC,DPIC,Prod,PSAVE
1947-01-01,156.161,1475.895,13.7361,12.595
1947-04-01,160.031,1461.568,13.745,8.476
1947-07-01,163.543,1500.603,13.7719,12.635
1947-10-01,167.672,1479.486,14.1482,10.372
1948-01-01,170.372,1507.039,14.2916,12.763
1948-04-01,174.142,1553.784,14.4439,16.672
1948-07-01,177.072,1579.12,14.5783,19.876
1948-10-01,177.928,1588.002,14.426,19.458
1949-01-01,176.831,1556.734,13.9601,15.143
1949-04-01,178.446,1564.437,13.521,13.204
1949-07-01,177.806,1574.581,13.5479,13.895
1949-10-01,180.249,1583.531,13.4852,12.25
1950-01-01,182.92,1705.662,14.193,24.168
1950-04-01,186.806,1700.659,15.3847,20.554
1950-07-01,200.505,1721.97,16.6213,13.777
1950-10-01,197.946,1732.476,16.908,21.489
1951-01-01,209.207,1734.194,17.2485,17.543
1951-04-01,204.942,1772.842,17.3023,28.863
1951-07-01,207.616,1792.98,16.8901,29.193
1951-10-01,211.59,1789.803,17.0066,27.918
1952-01-01,212.969,1789.005,17.4008,27.357
1952-04-01,217.088,1811.778,17.1499,26.163
1952-07-01,219.553,1848.306,17.6517,30.082
1952-10-01,227.67,1887.925,18.9151,27.624
1953-01-01,231.22,1910.295,19.2914,27.936
1953-04-01,232.96,1935.233,19.5602,29.81
1953-07-01,233.666,1925.922,19.5782,29.134
1953-10-01,233.112,1919.427,18.6552,29.88
1954-01-01,235.154,1929.178,18.0639,30.581
1954-04-01,237.885,1930.997,17.9922,27.727
1954-07-01,240.303,1951.497,18.0818,26.989
1954-10-01,245.093,1988.983,18.5836,27.288
1955-01-01,251.398,2021.227,19.5871,26.238
1955-04-01,256.466,2065.971,20.4383,27.459
1955-07-01,260.651,2104.076,20.7519,29.515
1955-10-01,264.639,2128.597,21.2448,29.581
1956-01-01,266.156,2150.081,21.3254,32.065
1956-04-01,268.834,2170.454,21.2358,34.212
1956-07-01,272.075,2181.713,21.1193,35.544
1956-10-01,277.445,2215.462,21.8899,36.791
1957-01-01,281.889,2222.438,22.096,36.089
1957-04-01,284.176,2238.099,21.8182,38.092
1957-07-01,288.75,2249.402,21.8989,37.779
1957-10-01,290.368,2234.375,20.9759,35.588
1958-01-01,289.888,2214.628,19.7932,37.174
1958-04-01,292.819,2229.995,19.4617,37.235
1958-07-01,297.893,2279.039,20.4921,39.86
1958-10-01,301.823,2314.044,21.415,41.014
1959-01-01,309.449,2327.444,22.3558,37.871
1959-04-01,315.505,2364.977,23.44,38.777
1959-07-01,320.725,2361.784,22.4813,34.996
1959-10-01,322.842,2378.605,22.5888,37.22
1960-01-01,326.364,2406.059,23.9508,38.266
1960-04-01,332.208,2421.621,23.4311,36.543
1960-07-01,332.126,2426.236,23.0458,38.57
1960-10-01,334.024,2425.231,22.4902,38.023
1961-01-01,334.52,2448.14,22.1497,41.746
