observation_date,PCEC,DPIC96
1947-01-01,156.161,1475.895
1947-04-01,160.031,1461.568
1947-07-01,163.543,1500.603
1947-10-01,167.672,1479.486
1948-01-01,170.372,1507.039
1948-04-01,174.142,1553.784
1948-07-01,177.072,1579.12
1948-10-01,177.928,1588.002
1949-01-01,176.831,1556.734
1949-04-01,178.446,1564.437
1949-07-01,177.806,1574.581
1949-10-01,180.249,1583.531
1950-01-01,182.92,1705.662
1950-04-01,186.806,1700.659
1950-07-01,200.505,1721.97
1950-10-01,197.946,1732.476
1951-01-01,209.207,1734.194
1951-04-01,204.942,1772.842
1951-07-01,207.616,1792.98
1951-10-01,211.59,1789.803
1952-01-01,212.969,1789.005
1952-04-01,217.088,1811.778
1952-07-01,219.553,1848.306
1952-10-01,227.67,1887.925
1953-01-01,231.22,1910.295
1953-04-01,232.96,1935.233
1953-07-01,233.666,1925.922
1953-10-01,233.112,1919.427
1954-01-01,235.154,1929.178
1954-04-01,237.885,1930.997
1954-07-01,240.303,1951.497
1954-10-01,245.093,1988.983
1955-01-01,251.398,2021.227
1955-04-01,256.466,2065.971
1955-07-01,260.651,2104.076
1955-10-01,264.639,2128.597
1956-01-01,266.156,2150.081
1956-04-01,268.834,2170.454
1956-07-01,272.075,2181.713
1956-10-01,277.445,2215.462
1957-01-01,281.889,2222.438
1957-04-01,284.176,2238.099
1957-07-01,288.75,2249.402
1957-10-01,290.368,2234.375
1958-01-01,289.888,2214.628
1958-04-01,292.819,2229.995
1958-07-01,297.893,2279.039
1958-10-01,301.823,2314.044
1959-01-01,309.449,2327.444
1959-04-01,315.505,2364.977
1959-07-01,320.725,2361.784
1959-10-01,322.842,2378.605
1960-01-01,326.364,2406.059
1960-04-01,332.208,2421.621
1960-07-01,332.126,2426.236
1960-10-01,334.024,2425.231
1961-01-01,334.52,2448.14
1961-04-01,339.455,2485.33
1961-07-01,342.332,2518.39
1961-10-01,349.593,2567.495
1962-01-01,354.822,2592.806
1962-04-01,360.458,2620.784
1962-07-01,364.333,2634.877
1962-10-01,370.618,2658.27
1963-01-01,374.283,2681.376
1963-04-01,378.413,2706.043
1963-07-01,385.394,2735.67
1963-10-01,390.049,2780.21
1964-01-01,399.581,2834.596
1964-04-01,407.536,2911.035
1964-07-01,416.422,2948.996
1964-10-01,418.987,2982.565
1965-01-01,429.711,3017.672
1965-04-01,436.642,3051.732
1965-07-01,445.804,3135.14
1965-10-01,459.736,3198.311
1966-01-01,470.136,3229.916
1966-04-01,475.189,3238.486
1966-07-01,484.291,3278.055
1966-10-01,490.06,3316.465
1967-01-01,494.317,3366.472
1967-04-01,503.458,3393.192
1967-07-01,510.717,3425.442
1967-10-01,518.249,3450.452
1968-01-01,536.297,3507.99
1968-04-01,550.014,3565.717
1968-07-01,566.122,3577.118
1968-10-01,574.977,3604.797
1969-01-01,587.005,3613.735
