Month,Visitors
Jan-76,202990
Feb-76,137040
Mar-76,118980
Apr-76,102120
May-76,128970
Jun-76,100200
Jul-76,116730
Aug-76,144180
Sep-76,160610
Oct-76,157690
Nov-76,132050
Dec-76,139950
Jan-77,219630
Feb-77,133490
Mar-77,120820
Apr-77,110320
May-77,115870
Jun-77,108990
Jul-77,131380
Aug-77,140200
Sep-77,166860
Oct-77,150540
Nov-77,152570
Dec-77,147100
Jan-78,208540
Feb-78,134730
Mar-78,128600
Apr-78,115760
May-78,135990
Jun-78,116160
Jul-78,141710
Aug-78,152780
Sep-78,184050
Oct-78,164770
Nov-78,163060
Dec-78,168650
Jan-79,228010
Feb-79,151130
Mar-79,150950
Apr-79,140470
May-79,163610
Jun-79,154220
Jul-79,172080
Aug-79,177370
Sep-79,201120
Oct-79,185200
Nov-79,187150
Dec-79,193490
Jan-80,232240
Feb-80,185560
Mar-80,192860
Apr-80,157710
May-80,173470
Jun-80,177880
Jul-80,185450
Aug-80,184760
Sep-80,193290
Oct-80,198500
Nov-80,201150
Dec-80,200730
Jan-81,233160
Feb-81,180110
Mar-81,194800
Apr-81,169790
May-81,177800
Jun-81,186400
Jul-81,190900
Aug-81,188480
Sep-81,192640
Oct-81,209340
Nov-81,204570
Dec-81,202800
Jan-82,252320
Feb-82,185060
Mar-82,190960
Apr-82,190450
May-82,178630
Jun-82,176190
Jul-82,211870
Aug-82,200800
Sep-82,210590
Oct-82,213350
Nov-82,200420
Dec-82,198870
Jan-83,251190
Feb-83,178340
Mar-83,173620
Apr-83,170350
May-83,167410
Jun-83,167110
Jul-83,198990
Aug-83,192030
Sep-83,200000
Oct-83,217940
Nov-83,194530
Dec-83,205590
Jan-84,254240
Feb-84,187860
Mar-84,177690
Apr-84,187640
May-84,195520
Jun-84,186630
Jul-84,213010
Aug-84,206270
Sep-84,239410
Oct-84,239110
Nov-84,224260
Dec-84,231660
Jan-85,281040
Feb-85,221240
Mar-85,220080
Apr-85,195590
May-85,209530
Jun-85,205040
Jul-85,221880
Aug-85,229630
Sep-85,258870
Oct-85,266990
Nov-85,249320
Dec-85,250650
Jan-86,303750
Feb-86,237500
Mar-86,242350
Apr-86,224870
May-86,224870
Jun-86,224660
Jul-86,254460
Aug-86,269260
Sep-86,277740
Oct-86,294420
Nov-86,291160
Dec-86,294240
Jan-87,346710
Feb-87,277550
Mar-87,264880
Apr-87,259680
May-87,247290
Jun-87,240400
Jul-87,316200
Aug-87,307690
Sep-87,303130
Oct-87,368610
Nov-87,326610
Dec-87,334110
Jan-88,384800
Feb-88,314770
Mar-88,313380
Apr-88,300790
May-88,278610
Jun-88,301210
Jul-88,386910
Aug-88,354430
Sep-88,360810
Oct-88,416180
Nov-88,357820
Dec-88,371370
Jan-89,417160
Feb-89,342770
Mar-89,331370
Apr-89,319520
May-89,273980
Jun-89,301200
Jul-89,393340
Aug-89,339770
Sep-89,355370
Oct-89,409620
Nov-89,363310
Dec-89,383620
Jan-90,452820
Feb-90,371630
Mar-90,343680
Apr-90,357690
May-90,309910
Jun-90,324620
Jul-90,417790
Aug-90,379690
Sep-90,386910
Oct-90,439720
Nov-90,374430
Dec-90,399410
Jan-91,462080
Feb-91,350090
Mar-91,349970
Apr-91,306940
May-91,308760
Jun-91,342200
Jul-91,427590
Aug-91,387990
Sep-91,400080
Oct-91,459600
Nov-91,406660
Dec-91,415330
Jan-92,477800
Feb-92,412270
Mar-92,375660
Apr-92,379300
May-92,341990
Jun-92,342030
Jul-92,462380
Aug-92,403510
Sep-92,408210
Oct-92,491610
Nov-92,440730
Dec-92,454560
Jan-93,538170
Feb-93,430970
Mar-93,415040
Apr-93,405630
May-93,379360
Jun-93,377660
Jul-93,491930
Aug-93,437710
Sep-93,439160
Oct-93,534730
Nov-93,464410
Dec-93,494540
Jan-94,548980
Feb-94,488610
Mar-94,480920
Apr-94,440430
May-94,385850
Jun-94,414640
Jul-94,545960
Aug-94,472530
Sep-94,485960
Oct-94,573290
Nov-94,501920
Dec-94,547100
Jan-95,615700
Feb-95,523840
Mar-95,498110
Apr-95,499280
May-95,434660
Jun-95,462410
Jul-95,603750
Aug-95,525500
Sep-95,520050
Oct-95,613300
Nov-95,550600
Dec-95,603410
Jan-96,660750
Feb-96,609000
Mar-96,571570
Apr-96,559260
May-96,455620
Jun-96,525410
Jul-96,646890
Aug-96,574070
Sep-96,578680
Oct-96,672550
Nov-96,609270
Dec-96,658620
Jan-97,703800
Feb-97,635280
Mar-97,619190
Apr-97,552390
May-97,501710
Jun-97,547250
Jul-97,710680
Aug-97,593040
Sep-97,619970
Oct-97,710200
Nov-97,633830
Dec-97,647930
Jan-98,712230
Feb-98,611750
Mar-98,574840
Apr-98,597840
May-98,532880
Jun-98,560350
Jul-98,696680
Aug-98,614090
Sep-98,628740
Oct-98,731040
Nov-98,638220
Dec-98,680870
Jan-99,754350
Feb-99,653350
Mar-99,635700
Apr-99,601850
May-99,550000
Jun-99,566700
Jul-99,734920
Aug-99,645450
Sep-99,674170
Oct-99,776210
Nov-99,686390
Dec-99,696410
Jan-00,753440
Feb-00,708940
Mar-00,663510
Apr-00,707500
May-00,594550
Jun-00,615350
Jul-00,794190
Aug-00,679450
Sep-00,753310
Oct-00,821590
Nov-00,759550
Dec-00,820560
01-Jan,874790
01-Feb,733150
01-Mar,707640
01-Apr,719340
01-May,603030
01-Jun,656320
01-Jul,835280
01-Aug,697870
01-Sep,705910
01-Oct,750270
01-Nov,625250
01-Dec,753250
02-Jan,787590
02-Feb,708130
02-Mar,729840
02-Apr,649940
02-May,598300
02-Jun,625020
02-Jul,801980
02-Aug,691630
02-Sep,692100
02-Oct,828820
02-Nov,714940
02-Dec,769760
03-Jan,838900
03-Feb,720640
03-Mar,672780
03-Apr,574090
03-May,487890
03-Jun,545910
03-Jul,771510
03-Aug,675570
03-Sep,727000
03-Oct,839260
03-Nov,774060
03-Dec,837530
04-Jan,930230
04-Feb,815130
04-Mar,754000
04-Apr,770580
04-May,671220
04-Jun,705690
04-Jul,952560
04-Aug,785000
04-Sep,812710
04-Oct,951720
04-Nov,838150
04-Dec,919500
05-Jan,1073840
05-Feb,879130
05-Mar,882640
05-Apr,809610
05-May,708680
05-Jun,763400
05-Jul,1031850
05-Aug,847750
05-Sep,892970
05-Oct,989370
05-Nov,842190
05-Dec,944670
06-Jan,1092420
06-Feb,892920
06-Mar,845850
06-Apr,849430
06-May,722640
06-Jun,779630
06-Jul,1036240
06-Aug,845420
06-Sep,909060
06-Oct,1035540
06-Nov,893840
06-Dec,1007590
07-Jan,1135590
07-Feb,929580
07-Mar,945260
07-Apr,909670
07-May,779980
07-Jun,841640
07-Jul,1085800
07-Aug,926260
07-Sep,956610
07-Oct,1107580
07-Nov,964140
07-Dec,1031710
08-Jan,1208080
08-Feb,1039480
08-Mar,998160
08-Apr,929810
08-May,845990
08-Jun,881290
08-Jul,1163830
08-Aug,964100
08-Sep,959240
08-Oct,1129070
08-Nov,962240
08-Dec,1033260
09-Jan,1238640
09-Feb,998940
09-Mar,954240
09-Apr,982110
09-May,857170
09-Jun,862650
09-Jul,1155030
09-Aug,1009820
09-Sep,1045330
09-Oct,1219110
09-Nov,1033140
09-Dec,1138540
10-Jan,1352000
10-Feb,1099660
10-Mar,1063910
10-Apr,1035820
10-May,905910
10-Jun,964870
10-Jul,1309700
10-Aug,1090010
10-Sep,1151000
10-Oct,1308330
10-Nov,1098810
10-Dec,1192680
11-Jan,1459720
11-Feb,1166430
11-Mar,1067910
11-Apr,1102930
11-May,1034900
11-Jun,996710
11-Jul,1382310
11-Aug,1154950
11-Sep,1178760
11-Oct,1389340
11-Nov,1157950
11-Dec,1233230
12-Jan,1538040
12-Feb,1234500
12-Mar,1156120
12-Apr,1194630
12-May,1014810
12-Jun,1097420
12-Jul,1429310
12-Aug,1203720
12-Sep,1252460
12-Oct,1454320
12-Nov,1222060
12-Dec,1323140
13-Jan,1578440
13-Feb,1261420
13-Mar,1239490
13-Apr,1226840
13-May,1097850
13-Jun,1161650
13-Jul,1511220
13-Aug,1304740
13-Sep,1325700
13-Oct,1532780
13-Nov,1283830
13-Dec,1422260
14-Jan,1744890
14-Feb,1339050
14-Mar,1280150
14-Apr,1331230
14-May,1187550
14-Jun,1179420
14-Jul,1594110
14-Aug,1362450
14-Sep,1381030
14-Oct,1574500
14-Nov,1342800
14-Dec,1455550
15-Jan,1780350
15-Feb,1415950
15-Mar,1388160
15-Apr,1365370
15-May,1215090
15-Jun,1233570
15-Jul,1646140
15-Aug,1419480
15-Sep,1456880
15-Oct,1650380
15-Nov,1424700
15-Dec,1584200
16-Jan,1908270
16-Feb,1560130
16-Mar,1479930
16-Apr,1473700
16-May,1304820
16-Jun,1326820
16-Jul,1829100
16-Aug,1511510
16-Sep,1587330
16-Oct,1778870
16-Nov,1512920
16-Dec,1716250
17-Jan,2066340
17-Feb,1631360
17-Mar,1522680
17-Apr,1649770
17-May,1401070
17-Jun,1421130
17-Jul,1909100
17-Aug,1623620
17-Sep,1666150
17-Oct,1879610
17-Nov,1602190
17-Dec,1755130
18-Jan,2130700
18-Feb,1729160
18-Mar,1682320
18-Apr,1668310
18-May,1480380
18-Jun,1513000
18-Jul,2009860
18-Aug,1718580
18-Sep,1721970
18-Oct,1963730
18-Nov,1667980
18-Dec,1853600
19-Jan,2217890
19-Feb,1788430
19-Mar,1660140
19-Apr,1674400
19-May,1587870
19-Jun,1562130
19-Jul,2008780
19-Aug,1782670
19-Sep,1746100
19-Oct,1979190
19-Nov,1721900
19-Dec,1889300
20-Jan,2257280
20-Feb,1568650
20-Mar,921950
20-Apr,21170
20-May,19120
20-Jun,25120
20-Jul,17260
20-Aug,14940
20-Sep,16200
20-Oct,23710
20-Nov,29330
20-Dec,34670
21-Jan,31160
21-Feb,25210
21-Mar,31990
21-Apr,53910
21-May,114520
21-Jun,102480
21-Jul,74860
21-Aug,26980
21-Sep,18840
21-Oct,15730
