"","Quarter","Region","State","Purpose","Trips"
"1",10227,"Adelaide","South Australia","Business",135.0776903
"2",10317,"Adelaide","South Australia","Business",109.987316
"3",10408,"Adelaide","South Australia","Business",166.0346866
"4",10500,"Adelaide","South Australia","Business",127.1604643
"5",10592,"Adelaide","South Australia","Business",137.4485333
"6",10682,"Adelaide","South Australia","Business",199.9125861
"7",10773,"Adelaide","South Australia","Business",169.3550898
"8",10865,"Adelaide","South Australia","Business",134.3579372
"9",10957,"Adelaide","South Australia","Business",154.034398
"10",11048,"Adelaide","South Australia","Business",168.7763637
"11",11139,"Adelaide","South Australia","Business",223.0651159
"12",11231,"Adelaide","South Australia","Business",241.2206893
"13",11323,"Adelaide","South Australia","Business",132.5000378
"14",11413,"Adelaide","South Australia","Business",178.3980945
"15",11504,"Adelaide","South Australia","Business",195.9963258
"16",11596,"Adelaide","South Australia","Business",101.1746931
"17",11688,"Adelaide","South Australia","Business",237.8327914
"18",11778,"Adelaide","South Australia","Business",150.7266327
"19",11869,"Adelaide","South Australia","Business",167.7128424
"20",11961,"Adelaide","South Australia","Business",140.3395127
"21",12053,"Adelaide","South Australia","Business",139.4467919
"22",12143,"Adelaide","South Australia","Business",159.6580081
"23",12234,"Adelaide","South Australia","Business",232.1073047
"24",12326,"Adelaide","South Australia","Business",158.5960175
"25",12418,"Adelaide","South Australia","Business",138.4674189
"26",12509,"Adelaide","South Australia","Business",229.7141455
"27",12600,"Adelaide","South Australia","Business",242.4943675
"28",12692,"Adelaide","South Australia","Business",123.0611006
"29",12784,"Adelaide","South Australia","Business",127.9992552
"30",12874,"Adelaide","South Australia","Business",73.2530124
"31",12965,"Adelaide","South Australia","Business",166.7247035
"32",13057,"Adelaide","South Australia","Business",122.2969489
"33",13149,"Adelaide","South Australia","Business",127.247714
"34",13239,"Adelaide","South Australia","Business",176.075701
"35",13330,"Adelaide","South Australia","Business",157.857561
"36",13422,"Adelaide","South Australia","Business",106.677495
"37",13514,"Adelaide","South Australia","Business",134.3680297
"38",13604,"Adelaide","South Australia","Business",168.5935923
"39",13695,"Adelaide","South Australia","Business",146.1038104
