,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
Jan-76,3780,5380,2750,11910,143370,,,47710,,,202990
Feb-76,3900,4190,2730,10820,76370,,,49860,,,137040
Mar-76,4790,4250,1940,10980,61900,,,46100,,,118980
Apr-76,3790,3490,1620,8900,55940,,,37270,,,102120
May-76,4680,4190,1890,10760,80590,,,37620,,,128970
Jun-76,3720,3620,1790,9130,61000,,,30070,,,100200
Jul-76,4600,4720,1640,10960,70650,,,35120,,,116730
Aug-76,4750,5130,1890,11770,88280,,,44130,,,144180
Sep-76,4470,4740,1890,11100,113460,,,36050,,,160610
Oct-76,6070,5550,1790,13410,97460,,,46820,,,157690
Nov-76,6080,5100,1590,12770,65600,,,53680,,,132050
Dec-76,7660,9540,1780,18970,53600,,,67370,,,139950
Jan-77,6200,5850,3540,15600,155430,,,48610,,,219630
Feb-77,6580,4130,3640,14360,70740,,,48390,,,133490
Mar-77,6560,4070,2340,12970,57210,,,50640,,,120820
Apr-77,6370,3530,2110,12010,56630,,,41680,,,110320
May-77,6280,3560,1990,11840,67820,,,36210,,,115870
Jun-77,5260,3280,1920,10460,66830,,,31690,,,108990
Jul-77,6030,4650,2080,12750,77800,,,40830,,,131380
Aug-77,4870,4660,2140,11670,85770,,,42760,,,140200
Sep-77,5670,4450,2180,12310,117080,,,37470,,,166860
Oct-77,6900,4930,1900,13740,90930,,,45880,,,150540
Nov-77,5950,5280,1830,13060,74420,,,65100,,,152570
Dec-77,8970,9300,1790,20060,53010,,,74030,,,147100
Jan-78,6280,5410,3760,15450,143190,,,49900,,,208540
Feb-78,5670,4070,3340,13070,69770,,,51880,,,134730
Mar-78,6080,4020,2820,12920,60700,,,54980,,,128600
